id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,trip_distance_miles,average_speed_mph,pickup_hour
id1902327,1,2016-06-16 17:06:27,2016-06-16 17:22:01,1,-73.98860931396483,40.763919830322266,-73.99649810791014,40.76338577270508,N,934,0.41,1.6,17
id3014846,2,2016-01-19 09:04:47,2016-01-19 09:14:44,2,-73.95327758789062,40.785659790039055,-73.95381927490233,40.78179931640625,N,597,0.27,1.62,9
id2965584,1,2016-06-19 17:13:21,2016-06-19 17:19:23,1,-73.98956298828125,40.75236511230469,-73.99259948730467,40.751834869384766,N,362,0.16,1.62,17
id0775002,1,2016-03-29 10:05:42,2016-03-29 10:14:49,1,-73.99797058105469,40.75592041015625,-73.99671173095702,40.7527732849121,N,547,0.23,1.5,10
id3765238,2,2016-04-01 10:40:58,2016-04-01 11:03:46,1,-73.98685455322266,40.76674270629882,-73.98607635498048,40.756954193115234,N,1368,0.68,1.78,10
id2302778,1,2016-06-07 17:01:50,2016-06-07 17:25:09,1,-73.98944091796875,40.75838851928711,-73.99083709716798,40.750503540039055,N,1399,0.55,1.41,17
id3128098,1,2016-05-12 10:11:23,2016-05-12 10:17:01,1,-73.97538757324217,40.74893569946289,-73.9775161743164,40.74967956542969,N,338,0.12,1.31,10
id2341603,2,2016-06-02 09:06:06,2016-06-02 09:19:28,1,-73.982177734375,40.75170135498047,-73.99004364013672,40.75175094604492,N,802,0.41,1.85,9
id2761352,1,2016-02-19 13:04:43,2016-02-19 13:17:19,1,-73.98097229003906,40.75382995605469,-73.98822784423827,40.75440216064453,N,756,0.38,1.82,13
id2482385,2,2016-05-24 15:28:11,2016-05-24 15:52:31,1,-73.95538330078125,40.769229888916016,-73.95957183837889,40.75996017456056,N,1460,0.68,1.67,15
id1438733,1,2016-05-06 16:51:41,2016-05-06 17:00:08,1,-74.00691986083984,40.71353530883789,-74.00666046142578,40.71123504638672,N,507,0.16,1.13,16
id2498860,1,2016-02-12 13:31:25,2016-02-12 13:51:35,1,-73.97828674316406,40.76314163208008,-73.98342895507811,40.75588607788086,N,1210,0.57,1.69,13
id3345644,1,2016-02-14 14:38:04,2016-02-14 14:50:18,1,-73.98110961914062,40.75905227661133,-73.98603057861328,40.75816345214844,N,734,0.26,1.3,14
id1726677,2,2016-02-10 13:38:06,2016-02-10 13:57:51,5,-73.97888946533203,40.7618293762207,-73.98935699462889,40.75875854492188,N,1185,0.59,1.78,13
id3166064,2,2016-02-24 17:51:25,2016-02-24 18:08:17,4,-73.97476959228516,40.7615623474121,-73.98162078857422,40.75710678100586,N,1012,0.47,1.68,17
id2649261,1,2016-06-30 16:08:55,2016-06-30 17:14:10,2,-73.99715423583984,40.74204254150391,-73.96340179443358,40.75775146484375,N,3915,2.07,1.91,16
id0341922,2,2016-03-16 10:40:03,2016-03-16 10:46:33,2,-73.97281646728516,40.761993408203125,-73.97602844238281,40.7636833190918,N,390,0.2,1.89,10
id2471787,2,2016-01-12 16:23:44,2016-01-12 16:43:56,1,-73.98074340820312,40.75973129272461,-73.97972869873048,40.75246810913086,N,1212,0.5,1.5,16
id2587318,1,2016-02-25 14:58:37,2016-02-25 15:02:58,4,-74.00215911865233,40.72429656982422,-74.00006103515625,40.72371673583984,N,261,0.12,1.61,14
id3207855,2,2016-01-24 09:28:57,2016-01-24 09:39:33,1,-73.97850036621094,40.75326919555664,-73.98297882080078,40.75651931762695,N,636,0.32,1.84,9
id1247181,1,2016-04-14 20:13:59,2016-04-14 20:22:37,1,-73.99927520751953,40.74433135986328,-74.00353240966798,40.74371719360352,N,518,0.23,1.58,20
id3008694,2,2016-05-01 10:18:54,2016-05-01 11:03:57,1,-74.00283813476561,40.76016616821289,-73.99259948730467,40.77395248413086,N,2703,1.09,1.46,10
id0957424,1,2016-05-17 08:43:22,2016-05-17 08:58:38,1,-73.97661590576173,40.75226211547852,-73.98250579833984,40.758079528808594,N,916,0.51,1.99,8
id3799708,1,2016-03-16 13:33:06,2016-03-16 13:47:31,1,-73.99211883544923,40.75025177001953,-73.98857879638672,40.75584411621094,N,865,0.43,1.78,13
id2558020,1,2016-01-25 09:49:29,2016-01-25 09:59:02,1,-74.01680755615233,40.70632553100586,-74.01217651367188,40.7087287902832,N,573,0.29,1.85,9
id2154802,2,2016-05-01 09:47:44,2016-05-01 10:09:27,1,-73.9929428100586,40.735801696777344,-73.99834442138672,40.732051849365234,N,1303,0.38,1.06,9
id3172251,2,2016-06-16 16:02:28,2016-06-16 16:18:08,5,-73.9681396484375,40.76797866821289,-73.97361755371094,40.76454162597656,N,940,0.37,1.43,16
id1358671,1,2016-06-26 12:07:55,2016-06-26 12:21:19,3,-73.97855377197266,40.752288818359375,-73.98206329345702,40.75739288330078,N,804,0.4,1.78,12
id0290727,2,2016-01-25 18:01:16,2016-01-25 18:13:28,6,-73.98988342285155,40.75666427612305,-73.9955825805664,40.75436401367188,N,732,0.34,1.66,18
id0116306,1,2016-06-30 13:01:29,2016-06-30 13:27:57,1,-73.99410247802734,40.75090026855469,-73.98306274414062,40.74956512451172,N,1588,0.59,1.33,13
id3113110,1,2016-04-05 09:27:25,2016-04-05 09:55:43,1,-73.98788452148438,40.7485237121582,-73.97808074951173,40.751968383789055,N,1698,0.57,1.2,9
id3614153,1,2016-04-18 15:31:06,2016-04-18 15:43:02,3,-73.97814178466798,40.75761413574219,-73.98463439941406,40.75911331176758,N,716,0.36,1.79,15
id0410951,1,2016-03-17 11:15:22,2016-03-17 11:31:36,1,-73.96815490722656,40.76799011230469,-73.96771240234375,40.76115798950195,N,974,0.47,1.75,11
id3620125,2,2016-06-22 11:38:03,2016-06-22 11:45:47,1,-73.96214294433594,40.776531219482415,-73.95999145507811,40.77922821044922,N,464,0.22,1.69,11
id2734677,2,2016-05-15 17:53:26,2016-05-15 18:31:51,1,-73.97332000732422,40.763858795166016,-73.9901123046875,40.76393127441406,N,2305,0.88,1.37,17
id1911431,2,2016-05-14 13:08:26,2016-05-14 13:21:54,1,-73.9925765991211,40.7682991027832,-73.98554992675781,40.766948699951165,N,808,0.38,1.69,13
id2964423,1,2016-01-27 08:42:04,2016-01-27 09:10:22,1,-73.98875427246092,40.75348663330078,-73.97985076904298,40.76036071777344,N,1698,0.67,1.41,8
id2757823,1,2016-01-01 19:13:10,2016-01-01 19:36:49,1,-73.97671508789062,40.75911712646485,-73.98439025878906,40.76244354248047,N,1419,0.46,1.17,19
id0754252,1,2016-05-07 14:38:20,2016-05-07 14:44:41,1,-74.01331329345702,40.7074089050293,-74.01435089111328,40.7100715637207,N,381,0.19,1.81,14
id3404213,1,2016-06-21 17:35:19,2016-06-21 17:54:52,1,-73.98189544677734,40.758106231689446,-73.98944854736328,40.75706481933594,N,1173,0.4,1.23,17
id3220581,1,2016-03-14 12:48:15,2016-03-14 13:15:58,1,-73.98054504394531,40.74423599243164,-73.9903793334961,40.73501968383789,N,1663,0.82,1.77,12
id0299475,2,2016-03-25 12:37:37,2016-03-25 12:51:26,5,-73.97881317138672,40.76321029663086,-73.98474884033203,40.75933837890625,N,829,0.41,1.78,12
id2413816,2,2016-02-11 17:17:43,2016-02-11 17:32:05,1,-73.98953247070312,40.753128051757805,-73.98090362548828,40.753730773925774,N,862,0.45,1.89,17
id3069780,1,2016-05-25 12:42:06,2016-05-25 13:14:44,1,-73.96825408935547,40.767696380615234,-73.98018646240233,40.75524139404297,N,1958,1.06,1.95,12
id2830834,1,2016-01-27 19:18:28,2016-01-27 19:32:51,1,-73.98454284667967,40.73287963867188,-73.99283599853516,40.73309326171875,N,863,0.43,1.81,19
id2275182,1,2016-01-13 09:42:39,2016-01-13 10:04:30,1,-74.01467895507811,40.71670913696289,-74.00759887695312,40.71234893798828,N,1311,0.48,1.31,9
id3718453,1,2016-06-28 09:27:58,2016-06-28 09:35:45,2,-73.9781494140625,40.75746154785156,-73.97491455078125,40.758419036865234,N,467,0.18,1.4,9
id0868405,1,2016-06-08 13:45:40,2016-06-08 14:16:06,1,-73.96202087402342,40.779518127441406,-73.96530151367188,40.766021728515625,N,1826,0.95,1.87,13
id3365835,2,2016-05-27 17:58:34,2016-05-27 18:54:34,1,-74.0007553100586,40.720645904541016,-73.99459075927734,40.74554443359375,N,3360,1.75,1.88,17
id3654488,1,2016-06-26 20:13:34,2016-06-26 20:21:25,2,-73.9632797241211,40.758209228515625,-73.96697235107422,40.76020431518555,N,471,0.24,1.81,20
id3468323,1,2016-06-27 18:37:21,2016-06-27 18:43:16,1,-73.88119506835938,40.88294219970703,-73.96514129638672,40.76248550415039,N,355,9.41,95.42,18
id1228280,1,2016-06-08 15:29:23,2016-06-08 15:43:20,1,-73.97743225097656,40.75042343139648,-73.97306823730467,40.75288772583008,N,837,0.28,1.23,15
id3703857,2,2016-05-05 11:35:39,2016-05-05 11:52:08,1,-73.98784637451173,40.74137878417969,-73.9886474609375,40.74837112426758,N,989,0.48,1.77,11
id1909272,2,2016-05-21 19:35:02,2016-05-21 20:04:44,2,-73.99517059326173,40.72492980957031,-73.97910308837889,40.72380065917969,N,1782,0.84,1.71,19
id3020268,2,2016-05-18 20:31:13,2016-05-19 00:00:00,3,-73.87290954589844,40.773956298828125,-73.98521423339844,40.73503112792969,N,12527,6.46,1.86,20
id1430542,1,2016-05-09 17:57:22,2016-05-09 18:17:22,1,-73.96849822998048,40.76767349243164,-73.98014831542967,40.76549530029297,N,1200,0.63,1.88,17
id0337339,2,2016-05-29 18:00:47,2016-05-29 18:20:38,3,-73.99877166748048,40.72588348388672,-73.99038696289062,40.72945022583008,N,1191,0.5,1.52,18
id1177651,2,2016-02-18 22:55:22,2016-02-18 23:06:39,1,-73.98216247558594,40.75751876831056,-73.98687744140625,40.76116943359375,N,677,0.35,1.88,22
id2218445,2,2016-02-27 21:16:52,2016-02-27 21:22:05,5,-73.98685455322266,40.75809860229492,-73.98828887939453,40.75585174560546,N,313,0.17,1.98,21
id3178405,2,2016-05-03 12:07:27,2016-05-03 12:23:46,1,-73.97592163085938,40.75131988525391,-73.98322296142578,40.753150939941406,N,979,0.4,1.48,12
id2943622,1,2016-05-12 21:29:15,2016-05-12 21:53:57,4,-73.97621154785155,40.75885772705078,-73.98088836669923,40.74753189086913,N,1482,0.82,1.99,21
id1464094,1,2016-01-27 08:14:41,2016-01-27 08:44:35,1,-73.9731216430664,40.7547721862793,-73.9788360595703,40.76200485229492,N,1794,0.58,1.17,8
id2313247,1,2016-06-06 09:13:25,2016-06-06 09:29:25,1,-73.99801635742188,40.7449951171875,-73.99944305419923,40.73862075805664,N,960,0.45,1.68,9
id2556389,1,2016-02-05 18:14:27,2016-02-05 18:31:24,1,-73.95582580566406,40.764041900634766,-73.95222473144531,40.75899124145508,N,1017,0.4,1.4,18
id0652533,2,2016-04-14 21:51:42,2016-04-14 22:00:58,3,-73.97113800048828,40.75796890258789,-73.96791076660156,40.760101318359375,N,556,0.22,1.45,21
id2184041,2,2016-05-08 20:05:17,2016-05-08 20:18:52,2,-73.97748565673827,40.76325607299805,-73.98483276367188,40.76333236694336,N,815,0.38,1.7,20
id3809342,2,2016-05-24 14:38:17,2016-05-24 15:03:34,2,-73.95807647705078,40.76477813720703,-73.96128845214845,40.756450653076165,N,1517,0.6,1.42,14
id1697861,1,2016-06-16 14:50:57,2016-06-16 15:13:44,1,-73.98377227783203,40.758819580078125,-73.97377014160156,40.75986099243164,N,1367,0.53,1.39,14
id3812253,2,2016-04-27 21:52:21,2016-04-27 22:09:14,2,-73.9979019165039,40.72103118896485,-74.0056381225586,40.72545623779297,N,1013,0.51,1.8,21
id1205508,1,2016-06-09 14:29:03,2016-06-09 15:02:32,1,-73.9714584350586,40.75531768798828,-73.9896011352539,40.75231552124024,N,2009,0.97,1.74,14
id3662759,2,2016-02-09 00:44:37,2016-02-09 00:50:01,5,-73.9798812866211,40.75877380371094,-73.98189544677734,40.75700378417969,N,324,0.16,1.79,0
id3902109,1,2016-06-08 14:54:18,2016-06-08 15:41:00,3,-73.9877700805664,40.75008773803711,-73.97422790527344,40.75576400756836,N,2802,0.81,1.04,14
id3589753,1,2016-05-28 19:53:02,2016-05-28 20:01:33,1,-73.99326324462889,40.752960205078125,-73.99520874023438,40.75545501708984,N,511,0.2,1.41,19
id3518656,2,2016-03-02 11:08:59,2016-03-02 11:26:20,3,-73.97582244873048,40.75225830078125,-73.98204040527344,40.751739501953125,N,1041,0.33,1.13,11
id1250498,2,2016-01-22 09:12:07,2016-01-22 09:29:25,2,-73.96826934814453,40.762149810791016,-73.9773712158203,40.76266098022461,N,1038,0.48,1.66,9
id1822613,2,2016-01-26 11:47:47,2016-01-26 12:04:24,1,-73.98816680908203,40.73789978027344,-73.9939727783203,40.74335861206056,N,997,0.48,1.75,11
id1101909,2,2016-04-18 12:28:36,2016-04-18 12:49:31,5,-73.97622680664062,40.75377655029297,-73.98368835449217,40.75701522827149,N,1255,0.45,1.29,12
id3198355,2,2016-06-22 12:34:17,2016-06-22 12:45:40,1,-73.99539947509764,40.72645568847656,-73.9908676147461,40.72675323486328,N,683,0.24,1.26,12
id3235710,2,2016-03-23 10:12:16,2016-03-23 10:39:20,3,-73.9926528930664,40.75814056396485,-73.98837280273438,40.748531341552734,N,1624,0.7,1.55,10
id3546376,2,2016-04-28 14:57:45,2016-04-28 15:18:26,1,-73.97138214111328,40.74681091308594,-73.98002624511719,40.75079345703125,N,1241,0.53,1.54,14
id3184156,2,2016-04-14 12:16:35,2016-04-14 12:41:11,5,-74.00641632080078,40.709659576416016,-74.01306915283203,40.705879211425774,N,1476,0.44,1.06,12
id1184053,1,2016-06-27 12:50:19,2016-06-27 13:12:13,1,-74.0095977783203,40.714839935302734,-74.00212097167967,40.708961486816406,N,1314,0.56,1.55,12
id2440565,1,2016-04-03 17:57:45,2016-04-03 18:07:16,1,-73.9858169555664,40.7450065612793,-73.98211669921875,40.74561309814453,N,571,0.2,1.25,17
id1943616,1,2016-05-16 12:15:49,2016-05-16 12:31:37,1,-73.97479248046875,40.75297164916992,-73.98281860351561,40.75671005249024,N,948,0.49,1.87,12
id2545932,1,2016-05-13 14:07:29,2016-05-13 14:27:26,2,-74.0,40.75420379638672,-73.99573516845702,40.75969696044922,N,1197,0.44,1.32,14
id2595573,2,2016-06-29 17:39:03,2016-06-29 18:09:56,1,-73.97972869873048,40.75327301025391,-73.99197387695312,40.7642936706543,N,1853,1.0,1.93,17
id0961569,1,2016-05-02 11:18:39,2016-05-02 11:41:16,1,-73.96757507324217,40.76298141479492,-73.97815704345702,40.76140594482422,N,1357,0.56,1.5,11
id0832953,2,2016-01-21 12:56:06,2016-01-21 13:08:36,1,-73.97239685058595,40.7532615661621,-73.97603607177734,40.755569458007805,N,750,0.25,1.19,12
id0733119,1,2016-06-08 18:01:38,2016-06-08 18:29:30,1,-73.9908676147461,40.750301361083984,-73.98335266113281,40.74444961547852,N,1672,0.56,1.21,18
id0303929,2,2016-03-21 18:17:28,2016-03-21 18:22:11,1,-73.99031066894531,40.7574462890625,-73.99261474609375,40.75678634643555,N,283,0.13,1.64,18
id1015943,2,2016-03-18 11:31:49,2016-03-18 11:47:38,6,-73.96617889404298,40.77090835571289,-73.9706802368164,40.7657585144043,N,949,0.43,1.62,11
id3428867,1,2016-04-19 12:22:15,2016-04-19 12:30:39,1,-73.96441650390625,40.76457977294922,-73.96781158447266,40.76639938354492,N,504,0.22,1.55,12
id0920719,2,2016-03-22 17:25:07,2016-03-22 17:48:34,1,-73.97428131103516,40.751663208007805,-73.98223876953125,40.75691986083984,N,1407,0.55,1.41,17
id2988426,2,2016-03-31 08:44:42,2016-03-31 08:54:40,5,-73.98538208007811,40.76309967041016,-73.9822006225586,40.7590217590332,N,598,0.33,1.97,8
id0150545,1,2016-06-08 16:11:01,2016-06-08 16:31:58,2,-73.9822540283203,40.77254486083984,-73.9747543334961,40.7646942138672,N,1257,0.67,1.92,16
id2899397,1,2016-06-22 16:22:04,2016-06-22 16:39:15,1,-73.98152923583984,40.75884246826172,-73.97222900390625,40.75994110107422,N,1031,0.49,1.72,16
id0699524,2,2016-05-21 17:21:10,2016-05-21 17:31:20,1,-73.9900665283203,40.71939849853516,-73.98812866210938,40.72360610961913,N,610,0.31,1.82,17
id3297771,1,2016-04-04 14:35:48,2016-04-04 14:58:39,1,-73.98377227783203,40.75968551635742,-73.9700698852539,40.75703811645508,N,1371,0.74,1.94,14
id0096456,1,2016-03-08 20:36:01,2016-03-08 20:39:47,1,-73.9651107788086,40.75526428222656,-73.96463775634764,40.75353240966797,N,226,0.12,1.95,20
id0820350,1,2016-02-13 19:16:46,2016-02-13 19:33:36,1,-73.9954605102539,40.7545280456543,-73.9949722290039,40.75006103515625,N,1010,0.31,1.1,19
id3275219,2,2016-04-20 12:24:25,2016-04-20 12:35:05,1,-73.9700927734375,40.75925827026367,-73.97405242919923,40.759521484375,N,640,0.21,1.17,12
id3275543,1,2016-05-01 13:51:08,2016-05-01 14:09:22,1,-74.00553894042967,40.71535873413086,-73.99620819091797,40.71609878540039,N,1094,0.49,1.62,13
id3075006,1,2016-01-13 15:20:58,2016-01-13 15:32:25,1,-74.0135726928711,40.71291732788086,-74.01287078857422,40.71577072143555,N,687,0.2,1.05,15
id1332779,2,2016-06-28 18:40:03,2016-06-28 18:51:21,6,-73.98188781738281,40.76308059692384,-73.98365783691406,40.76047134399414,N,678,0.2,1.08,18
id0784203,1,2016-01-15 10:19:42,2016-01-15 10:35:55,1,-73.97151947021484,40.7550048828125,-73.97715759277344,40.75886917114258,N,973,0.4,1.47,10
id1833183,1,2016-02-11 17:57:08,2016-02-11 18:26:57,1,-73.98353576660156,40.73656845092773,-73.99165344238281,40.74898147583008,N,1789,0.96,1.93,17
id1184836,1,2016-04-08 10:45:59,2016-04-08 10:55:51,1,-73.97682189941406,40.76367568969727,-73.97687530517578,40.76123428344727,N,592,0.17,1.03,10
id3356613,2,2016-01-20 20:18:22,2016-01-20 20:25:14,1,-73.99578094482422,40.73434066772461,-73.99816131591797,40.73456954956056,N,412,0.13,1.1,20
id0793449,1,2016-05-25 15:06:29,2016-05-25 15:17:17,1,-73.98408508300781,40.74571228027344,-73.98863983154298,40.74872589111328,N,648,0.32,1.76,15
id3086831,2,2016-02-18 14:08:37,2016-02-18 14:40:37,5,-73.97411346435547,40.75212860107422,-73.99192810058595,40.749610900878906,N,1920,0.95,1.78,14
id3405062,1,2016-02-02 16:15:58,2016-02-02 17:02:24,1,-73.98067474365233,40.78316116333008,-73.96942901611328,40.763301849365234,N,2786,1.49,1.93,16
id2658598,1,2016-05-12 14:31:58,2016-05-12 14:54:06,1,-73.990966796875,40.74955368041992,-73.97784423828125,40.75042343139648,N,1328,0.69,1.87,14
id3082388,2,2016-04-25 15:06:38,2016-04-25 15:20:33,1,-73.98135375976561,40.75319290161133,-73.97824859619139,40.74995040893555,N,835,0.28,1.19,15
id1362177,2,2016-03-07 11:05:03,2016-03-07 11:36:15,1,-74.00120544433594,40.75675582885742,-73.99349212646483,40.74734115600586,N,1872,0.77,1.47,11
id3927515,2,2016-03-14 08:19:00,2016-03-14 09:12:02,5,-73.95481872558594,40.76948928833008,-73.97390747070312,40.754409790039055,N,3182,1.44,1.63,8
id3862858,1,2016-06-10 04:47:36,2016-06-10 05:24:46,2,-74.00788879394531,40.71490859985352,-73.99720764160156,40.72189712524414,N,2230,0.74,1.19,4
id0841186,1,2016-04-12 20:35:22,2016-04-12 20:52:22,1,-73.98628997802734,40.73053359985352,-73.98279571533203,40.72333908081056,N,1020,0.53,1.87,20
id3837494,1,2016-04-08 11:45:49,2016-04-08 11:55:19,1,-74.00656127929686,40.72573852539063,-74.00253295898438,40.72495269775391,N,570,0.22,1.38,11
id3402985,1,2016-04-12 14:01:16,2016-04-12 14:18:01,1,-73.95620727539062,40.76739883422852,-73.95848083496092,40.76002502441406,N,1005,0.52,1.87,14
id1469381,2,2016-05-28 13:26:06,2016-05-28 14:02:11,1,-74.00773620605469,40.74623107910156,-74.00091552734375,40.76183319091797,N,2165,1.14,1.89,13
id0264237,1,2016-04-20 10:21:35,2016-04-20 10:43:35,1,-73.99849700927734,40.74079132080078,-73.99478912353516,40.75040054321289,N,1320,0.69,1.89,10
id2750032,1,2016-03-31 11:09:31,2016-03-31 11:22:07,1,-73.97761535644531,40.75229644775391,-73.97219085693358,40.7551383972168,N,756,0.35,1.64,11
id0881743,2,2016-04-23 21:29:29,2016-04-23 21:41:02,5,-73.98483276367188,40.760601043701165,-73.98771667480467,40.75776290893555,N,693,0.25,1.29,21
id3747742,2,2016-01-19 18:39:28,2016-01-19 19:18:00,1,-73.96556091308594,40.77449035644531,-73.96195220947266,40.7641487121582,N,2312,0.74,1.15,18
id3552958,1,2016-06-17 19:28:46,2016-06-17 19:46:03,1,-73.98539733886719,40.75030517578125,-73.99183654785155,40.74898910522461,N,1037,0.35,1.21,19
id0733405,2,2016-05-14 14:26:02,2016-05-14 14:51:25,3,-73.97113037109375,40.76059722900391,-73.98458862304686,40.76724624633789,N,1523,0.84,1.99,14
id0816719,2,2016-05-27 22:48:17,2016-05-27 23:03:20,6,-74.00209045410156,40.7193603515625,-74.00926208496092,40.7220115661621,N,903,0.42,1.67,22
id3523384,1,2016-06-23 09:36:05,2016-06-23 09:45:20,1,-74.00005340576173,40.7378044128418,-73.99715423583984,40.735664367675774,N,555,0.21,1.37,9
id2994598,2,2016-03-17 15:10:40,2016-03-17 15:42:21,1,-73.98816680908203,40.74993515014648,-73.98403930664062,40.764610290527344,N,1901,1.04,1.96,15
id3940919,1,2016-05-13 15:19:51,2016-05-13 15:47:21,2,-73.98530578613281,40.74776458740234,-73.98890686035155,40.758487701416016,N,1650,0.76,1.67,15
id2462435,1,2016-03-17 09:12:02,2016-03-17 09:49:16,1,-73.96754455566406,40.7591209411621,-73.98735809326173,40.75360107421875,N,2234,1.1,1.78,9
